Organization,Address,Reviewer,Review Title,Review,Review Count,Help Count,Attraction Count,Restaurant Count,Hotel Count,Location,Rating Date,Rating
The Thief,Landgangen 1 Oslo 0252 Norway,Colin R,Above and Beyond,Greetings and many thanks or your review of our property . Great to read you had such an enjoyable stay . As you mentioned we have a fine collection of modern and contemporary art including Damian Hurst   Jeff Koons and Richard Prince amongst others . Were also located adjacent to the Astrup Fearnley museum and provide free entry for...,32,1,0,0,0,Birmingham  United Kingdom,3 days ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,SantiagoDTK,Lovely Oslo,The Thief is located in a very trendy  posh area full of excelent restaurants  museums and sites! The staff went above and beyond to make sure our stay was memorable. We stayed for 3 nights on our honeymoon  the service at the front desk was very friendly and most helpfull  breakfast was delicious  the staff there was also very acommodating....,2,2,0,0,8,Vosselaar  Belgium,6 days ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,Alan0509,Excellent hotel in a new part of the city,"Greetings and many thanks for your review of The Thief . Great to read you decided to spend such a memorable occasion with us . To hear the breakfast described as ""delicious"" is a pleasure as chef Johan takes great pride in his locally sourced and seasonal Norwegian fare . Your recommendation is much appreciated and I´ll be sharing your...",11,0,0,0,0,Los Angeles  California,2 weeks ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,samv583,Best Hotel in Oslo  Maybe Norway,I stayed there just for one night but honestly I would love to extend my stay for the whole month . Lovely staff  very helpful and the food simply amazing . The view it s extremely beautiful and the vibe of the location it s top notch. I totally recommend to everyone. Thank you for a great service   Regards...,8,3,0,0,3,Melbourne  Australia,2 weeks ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,Grace C,Amazing!!!!!!!!!!!!!,"Greetings and many thanks for your review of our property . Great to read you had such an enjoyable stay . To hear our food described as ""simply amazing"" is a true pleasure and I´ll be sharing your thoughts with our crew of very talented chefs . Your recommendation is much appreciated . Wishing you a warm   colourful Spring...",1,3,0,0,6,Fredrikstad  Norway,2 weeks ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,AlexiaRichmond,Delightful boutique hotel,This hotel gives everything a traveller wants: upscale rooms with nice decorations  excellent bar(tenders)  fantastic breakfast and most of all very  very friendly people assisting you. I had room 614 which had an excellent view. The hotel is located in a new part of the city next to a museum of art.,13,review2,0,0,0,Langesund  Norway,2 weeks ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,TravellingFarAway,I expected more.....,Greetings and many thanks for your review of The Thief . Great to read you had such an enjoyable stay . As you mentioned were located on theOslo Fjord in a vibrant and new district called Tjuvholmen . Glad that you enjoyed the breakfast as chef Johan takes great pride in his local   seasonal & organic Norwegian fare ....,2,9,0,0,7,England,2 weeks ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,joshuak706,Excellent experience,I was only able to spend one night at the Thief in Oslo  but was blown away by the experience. I cannot wait to go back and spend more time there! With an amazing location right on the water near Aker Brygge  the views are stunning and it is easy to get anywhere thanks to great public transit. The actual...,2,0,0,0,0,Great Falls  Virginia,2 weeks ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,arch0n,,Greetings and many thanks for your review of The Thief . Great to read you had such an enjoyable stay . As you mentioned were located on the Oslo Fjord in a new and vibrant district called Tjuvholmen . Glad that you ventured into the bar as we have some world renowned mixologists and a fab cocktail list to explore...,0,0,0,0,0,Glen Ellyn  Illinois,,5
The Thief,Landgangen 1 Oslo 0252 Norway,,Extravagant and pronounced,My fiancé and me stayed here for a little get away and to attend a art exhibit nearby. The hotel staff is over the top friendly and proffesional. The service is extraordinary great. The design and total layout of this concept is wonderful. Even the minor details are thought through and specified to meet the top of the line! Way...,26,0,0,0,0,London  England  United Kingdom,2 days ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,SteffanTvete,Great hotel,Really enjoying my stay here .great rooms with balconies over looking the harbour.Very friendly helpful staff .Amazing art collection with Damion hurst piece in the food bar Very relaxing and enjoyable stat I look forward to coming back Dominic who welcomes the guest gave me a tour of the pieces on display and will do anything to help Great,5,3,0,0,6,Mexico City  Mexico,2 days ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,Colin R,Above and Beyond,Greetings and many thanks or your review of our property . Great to read you had such an enjoyable stay . As you mentioned we have a fine collection of modern and contemporary art including Damian Hurst   Jeff Koons and Richard Prince amongst others . Were also located adjacent to the Astrup Fearnley museum and provide free entry for...,32,1,0,0,0,Birmingham  United Kingdom,3 days ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,SantiagoDTK,Lovely Oslo,The Thief is located in a very trendy  posh area full of excelent restaurants  museums and sites! The staff went above and beyond to make sure our stay was memorable. We stayed for 3 nights on our honeymoon  the service at the front desk was very friendly and most helpfull  breakfast was delicious  the staff there was also very acommodating....,2,2,0,0,8,Vosselaar  Belgium,6 days ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,Alan0509,Excellent hotel in a new part of the city,"Greetings and many thanks for your review of The Thief . Great to read you decided to spend such a memorable occasion with us . To hear the breakfast described as ""delicious"" is a pleasure as chef Johan takes great pride in his locally sourced and seasonal Norwegian fare . Your recommendation is much appreciated and I´ll be sharing your...",11,0,0,0,0,Los Angeles  California,2 weeks ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,samv583,Best Hotel in Oslo  Maybe Norway,I stayed there just for one night but honestly I would love to extend my stay for the whole month . Lovely staff  very helpful and the food simply amazing . The view it s extremely beautiful and the vibe of the location it s top notch. I totally recommend to everyone. Thank you for a great service   Regards...,8,3,0,0,3,Melbourne  Australia,2 weeks ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,Grace C,Amazing!!!!!!!!!!!!!,"Greetings and many thanks for your review of our property . Great to read you had such an enjoyable stay . To hear our food described as ""simply amazing"" is a true pleasure and I´ll be sharing your thoughts with our crew of very talented chefs . Your recommendation is much appreciated . Wishing you a warm   colourful Spring...",1,3,0,0,6,Fredrikstad  Norway,2 weeks ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,AlexiaRichmond,Delightful boutique hotel,This hotel gives everything a traveller wants: upscale rooms with nice decorations  excellent bar(tenders)  fantastic breakfast and most of all very  very friendly people assisting you. I had room 614 which had an excellent view. The hotel is located in a new part of the city next to a museum of art.,13,review2,0,0,0,Langesund  Norway,2 weeks ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,TravellingFarAway,I expected more.....,Greetings and many thanks for your review of The Thief . Great to read you had such an enjoyable stay . As you mentioned were located on theOslo Fjord in a vibrant and new district called Tjuvholmen . Glad that you enjoyed the breakfast as chef Johan takes great pride in his local   seasonal & organic Norwegian fare ....,2,9,0,0,7,England,2 weeks ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,joshuak706,Excellent experience,I was only able to spend one night at the Thief in Oslo  but was blown away by the experience. I cannot wait to go back and spend more time there! With an amazing location right on the water near Aker Brygge  the views are stunning and it is easy to get anywhere thanks to great public transit. The actual...,2,0,0,0,0,Great Falls  Virginia,2 weeks ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,arch0n,,Greetings and many thanks for your review of The Thief . Great to read you had such an enjoyable stay . As you mentioned were located on the Oslo Fjord in a new and vibrant district called Tjuvholmen . Glad that you ventured into the bar as we have some world renowned mixologists and a fab cocktail list to explore...,0,0,0,0,0,Glen Ellyn  Illinois,,5
Unknown Organization,Unknown Address,SteffanTvete,Extravagant and pronounced,My fiancé and me stayed here for a little get away and to attend a art exhibit nearby. The hotel staff is over the top friendly and proffesional. The service is extraordinary great. The design and total layout of this concept is wonderful. Even the...More,26,0,0,0,0,LocationNorway >Eastern Norway >Oslo,2 days ago,5
Unknown Organization,Unknown Address,Colin R,Great hotel,Really enjoying my stay here .great rooms with balconies over looking the harbour.Very friendly helpful staff .Amazing art collection with Damion hurst piece in the food bar Very relaxing and enjoyable stat I look forward to coming back Dominic who welcomes the guest gave me...More,5,0,0,0,0,,2 days ago,5
Unknown Organization,Unknown Address,SantiagoDTK,Above and Beyond,Greetings and many thanks or your review of our property . Great to read you had such an enjoyable stay . As you mentioned we have a fine collection of modern and contemporary art including Damian Hurst   Jeff Koons and Richard Prince amongst others...More,32,0,0,0,0,,3 days ago,5
Unknown Organization,Unknown Address,Alan0509,Lovely Oslo,The Thief is located in a very trendy  posh area full of excelent restaurants  museums and sites! The staff went above and beyond to make sure our stay was memorable. We stayed for 3 nights on our honeymoon  the service at the front desk was...More,2,0,0,0,0,,6 days ago,5
Unknown Organization,Unknown Address,samv583,Excellent hotel in a new part of the city,"Greetings and many thanks for your review of The Thief . Great to read you decided to spend such a memorable occasion with us . To hear the breakfast described as ""delicious"" is a pleasure as chef Johan takes great pride in his locally sourced...More",11,0,0,0,0,,2 weeks ago,5
Unknown Organization,Unknown Address,SteffanTvete,Extravagant and pronounced,My fiancé and me stayed here for a little get away and to attend a art exhibit nearby. The hotel staff is over the top friendly and proffesional. The service is extraordinary great. The design and total layout of this concept is wonderful. Even the...More,26,0,0,0,0,LocationNorway >Eastern Norway >Oslo,2 days ago,5
Unknown Organization,Unknown Address,Colin R,Great hotel,Really enjoying my stay here .great rooms with balconies over looking the harbour.Very friendly helpful staff .Amazing art collection with Damion hurst piece in the food bar Very relaxing and enjoyable stat I look forward to coming back Dominic who welcomes the guest gave me...More,5,0,0,0,0,,2 days ago,5
Unknown Organization,Unknown Address,SantiagoDTK,Above and Beyond,Greetings and many thanks or your review of our property . Great to read you had such an enjoyable stay . As you mentioned we have a fine collection of modern and contemporary art including Damian Hurst   Jeff Koons and Richard Prince amongst others...More,32,0,0,0,0,,3 days ago,5
Unknown Organization,Unknown Address,Alan0509,Lovely Oslo,The Thief is located in a very trendy  posh area full of excelent restaurants  museums and sites! The staff went above and beyond to make sure our stay was memorable. We stayed for 3 nights on our honeymoon  the service at the front desk was...More,2,0,0,0,0,,6 days ago,5
Unknown Organization,Unknown Address,samv583,Excellent hotel in a new part of the city,"Greetings and many thanks for your review of The Thief . Great to read you decided to spend such a memorable occasion with us . To hear the breakfast described as ""delicious"" is a pleasure as chef Johan takes great pride in his locally sourced...More",11,0,0,0,0,,2 weeks ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,,Extravagant and pronounced,My fiancé and me stayed here for a little get away and to attend a art exhibit nearby. The hotel staff is over the top friendly and proffesional. The service is extraordinary great. The design and total layout of this concept is wonderful. Even the minor details are thought through and specified to meet the top of the line! Way...,26,0,0,0,0,London  England  United Kingdom,2 days ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,SteffanTvete,Great hotel,Really enjoying my stay here .great rooms with balconies over looking the harbour.Very friendly helpful staff .Amazing art collection with Damion hurst piece in the food bar Very relaxing and enjoyable stat I look forward to coming back Dominic who welcomes the guest gave me a tour of the pieces on display and will do anything to help Great,5,3,0,0,0,Mexico City  Mexico,2 days ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,Colin R,Above and Beyond,Greetings and many thanks or your review of our property . Great to read you had such an enjoyable stay . As you mentioned we have a fine collection of modern and contemporary art including Damian Hurst   Jeff Koons and Richard Prince amongst others . Were also located adjacent to the Astrup Fearnley museum and provide free entry for...,32,1,0,0,0,Birmingham  United Kingdom,3 days ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,SantiagoDTK,Lovely Oslo,The Thief is located in a very trendy  posh area full of excelent restaurants  museums and sites! The staff went above and beyond to make sure our stay was memorable. We stayed for 3 nights on our honeymoon  the service at the front desk was very friendly and most helpfull  breakfast was delicious  the staff there was also very acommodating....,2,2,0,0,0,Vosselaar  Belgium,6 days ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,Alan0509,Excellent hotel in a new part of the city,"Greetings and many thanks for your review of The Thief . Great to read you decided to spend such a memorable occasion with us . To hear the breakfast described as ""delicious"" is a pleasure as chef Johan takes great pride in his locally sourced and seasonal Norwegian fare . Your recommendation is much appreciated and I´ll be sharing your...",11,0,0,0,0,Los Angeles  California,2 weeks ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,samv583,Best Hotel in Oslo  Maybe Norway,I stayed there just for one night but honestly I would love to extend my stay for the whole month . Lovely staff  very helpful and the food simply amazing . The view it s extremely beautiful and the vibe of the location it s top notch. I totally recommend to everyone. Thank you for a great service   Regards...,8,3,0,0,0,Melbourne  Australia,2 weeks ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,Grace C,Amazing!!!!!!!!!!!!!,"Greetings and many thanks for your review of our property . Great to read you had such an enjoyable stay . To hear our food described as ""simply amazing"" is a true pleasure and I´ll be sharing your thoughts with our crew of very talented chefs . Your recommendation is much appreciated . Wishing you a warm   colourful Spring...",1,3,0,0,0,Fredrikstad  Norway,2 weeks ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,AlexiaRichmond,Delightful boutique hotel,This hotel gives everything a traveller wants: upscale rooms with nice decorations  excellent bar(tenders)  fantastic breakfast and most of all very  very friendly people assisting you. I had room 614 which had an excellent view. The hotel is located in a new part of the city next to a museum of art.,13,review2,0,0,0,Langesund  Norway,2 weeks ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,TravellingFarAway,I expected more.....,Greetings and many thanks for your review of The Thief . Great to read you had such an enjoyable stay . As you mentioned were located on theOslo Fjord in a vibrant and new district called Tjuvholmen . Glad that you enjoyed the breakfast as chef Johan takes great pride in his local   seasonal & organic Norwegian fare ....,2,9,0,0,0,England,2 weeks ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,joshuak706,Excellent experience,I was only able to spend one night at the Thief in Oslo  but was blown away by the experience. I cannot wait to go back and spend more time there! With an amazing location right on the water near Aker Brygge  the views are stunning and it is easy to get anywhere thanks to great public transit. The actual...,2,0,0,0,0,Great Falls  Virginia,2 weeks ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,arch0n,,Greetings and many thanks for your review of The Thief . Great to read you had such an enjoyable stay . As you mentioned were located on the Oslo Fjord in a new and vibrant district called Tjuvholmen . Glad that you ventured into the bar as we have some world renowned mixologists and a fab cocktail list to explore...,0,0,0,0,0,Glen Ellyn  Illinois,,5
